ASV,Name,Completeness,Contamination,16S_identity（%）,taxonomy,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size(bp),predicted_genome_size(Mb),GC_Content,Total_Coding_Sequences
ASV_23014,GCA_005885555.1,100.0 ,3.13,99.7 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Rugosimonospora;s__Rugosimonospora_sp005885555_[location=1..1351]_[ssu_len=1351]_[contig_len=250559],0.906,103268,321.5233645,6699801,6.5 ,0.72,6313
ASV_11907,GCF_008330225.1,100.0 ,3.08,100.0 ,d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__Oryzomonas;s__Oryzomonas_sp008330225_[location=2347307..2348861]_[ssu_len=1555]_[contig_len=4099068],0.875,4099068,310.7226258,4099068,4.0 ,0.61,3854
ASV_1680,GCF_900184685.1,100.0 ,2.98,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas_sp900184685_[location=4..1053]_[ssu_len=1050]_[contig_len=1060],0.913,1413503,376.6928638,5300003,5.1 ,0.44,4288
ASV_16456,GCA_016713705.1,100.0 ,2.84,99.7 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__SSSZ01;s__SSSZ01_sp016720065_[location=1048304..1049838]_[ssu_len=1535]_[contig_len=3818570],0.898,3818570,315.4179827,4127364,4.0 ,0.65,3926
ASV_9399,GCF_017875235.1,100.0 ,2.65,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;s__Asticcacaulis_solisilvae_[location=3957..5412]_[ssu_len=1456]_[contig_len=5623],0.89,321921,338.2004545,5011003,4.9 ,0.62,4400
ASV_10935,GCF_003952225.1,100.0 ,2.27,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_Z;s__Paenibacillus_Z_albus_[location=203657..205203]_[ssu_len=1547]_[contig_len=6632345],0.882,6632345,322.708168,6632345,6.5 ,0.51,6048
ASV_28026,GCA_018969425.1,100.0 ,1.6,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA7672;s__UBA7672_sp018969425_[location=2..1332]_[ssu_len=1331]_[contig_len=65800],0.901,69712,327.5785235,3245086,3.2 ,0.62,2980
ASV_19546,GCF_020907985.1,100.0 ,1.42,99.7 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Kitasatospora;s__Kitasatospora_humi_[location=15..1534]_[ssu_len=1520]_[contig_len=1627],0.863,134447,318.4490993,8094094,8.0 ,0.72,7328
ASV_14594,GCF_001005145.1,100.0 ,1.38,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae;g__Jiangella;s__Jiangella_alkaliphila_[location=2588..3896]_[ssu_len=1309]_[contig_len=3900],0.912,169179,327.353392,7567836,7.5 ,0.72,7046
ASV_7075,GCF_004803405.1,100.0 ,1.31,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_sp004803405_[location=1..503]_[ssu_len=503]_[contig_len=503],0.914,27298,304.5079094,4665855,4.6 ,0.7,4678
ASV_17360,GCF_003268635.1,100.0 ,1.29,99.7 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_sp003268635_[location=87456..89033]_[ssu_len=1578]_[contig_len=6667063],0.84,6667063,292.7014855,6667063,6.6 ,0.45,6395
ASV_6357,GCF_001006305.1,100.0 ,1.26,99.7 ,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Silvibacterium;s__Silvibacterium_bohemicum_[location=886403..887897]_[ssu_len=1495]_[contig_len=914507],0.88,883337,354.9483726,6459122,6.4 ,0.58,5346
ASV_12824,GCA_017313375.1,100.0 ,1.16,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium_cellulosilyticum_[location=5..1406]_[ssu_len=1402]_[contig_len=1424],0.877,303217,298.2923541,6422742,6.4 ,0.59,6304
ASV_4161,GCA_001724275.1,100.0 ,1.08,99.2 ,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__SCN-70-22_sp001724275_[location=61..1582]_[ssu_len=1522]_[contig_len=20391],0.909,101991,357.9547966,4697473,4.6 ,0.7,3982
ASV_4166,GCA_001556145.1,100.0 ,1.07,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Acidovorax;s__Acidovorax_sp000302535_[location=34415..35944]_[ssu_len=1530]_[contig_len=40066],0.888,16768,300.4184234,5721016,5.7 ,0.65,5645
ASV_29060,GCF_024362805.1,100.0 ,1.01,99.7 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Salipaludibacillus;s__Salipaludibacillus_sp024362805_[location=3431421..3432984]_[ssu_len=1564]_[contig_len=4525667],0.771,4525667,281.0069947,4525667,4.5 ,0.39,4146
ASV_3275,GCF_000024865.1,100.0 ,1,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium;s__Streptosporangium_roseum_[location=4414096..4415618]_[ssu_len=1523]_[contig_len=10341314],0.866,10341314,324.9005309,10369518,10.3 ,0.71,9229
ASV_25383,GCF_003467265.1,100.0 ,0.95,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_inulinivorans_[location=1..1408]_[ssu_len=1408]_[contig_len=2193],0.877,83390,305.8042177,4009104,4.0 ,0.41,3841
ASV_30794,GCF_022549215.1,100.0 ,0.74,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;s__Solibacillus_sp022549215_[location=39..1589]_[ssu_len=1551]_[contig_len=1597],0.833,408626,286.1337284,3996178,4.0 ,0.37,3881
ASV_3957,GCF_002355375.1,100.0 ,0.66,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Aneurinibacillales;f__Aneurinibacillaceae;g__Aneurinibacillus;s__Aneurinibacillus_soli_[location=342444..343980]_[ssu_len=1537]_[contig_len=4116770],0.851,4116770,292.5307654,4116770,4.1 ,0.46,3998
ASV_13066,GCA_008668245.1,100.0 ,0.65,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E_bromii_B_[location=3088..4604]_[ssu_len=1517]_[contig_len=4629],0.873,83653,301.6387097,2406546,2.4 ,0.41,2325
ASV_19828,GCF_016735515.1,100.0 ,0.64,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhizobacter;s__Rhizobacter_sp016735515_[location=2640246..2641773]_[ssu_len=1528]_[contig_len=5061406],0.927,5061406,338.6575822,5618274,5.6 ,0.68,5137
ASV_23783,GCF_019799905.1,100.0 ,0.64,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Geodermatophilus;s__Geodermatophilus_endophyticus_A_[location=159..1675]_[ssu_len=1517]_[contig_len=5565],0.864,402200,315.861782,5390678,5.4 ,0.73,4927
ASV_30737,GCF_024436435.1,100.0 ,0.63,99.2 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter_B;s__Pedobacter_B_xinjiangensis_[location=52..1570]_[ssu_len=1519]_[contig_len=1873],0.908,781741,358.9937634,5509061,5.5 ,0.42,4650
ASV_8737,GCF_003346515.1,100.0 ,0.54,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_corynorhini_[location=454..1977]_[ssu_len=1524]_[contig_len=5678],0.874,28347,331.3284414,7735729,7.7 ,0.72,6814
ASV_591,GCF_022179525.1,100.0 ,0.54,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium_persicinum_[location=60..1542]_[ssu_len=1483]_[contig_len=1571],0.862,105200,307.7677157,5271491,5.2 ,0.69,4925
ASV_4974,GCA_008671775.1,100.0 ,0.48,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E_siraeum_[location=1..1387]_[ssu_len=1387]_[contig_len=4330],0.88,19483,327.694005,2680865,2.7 ,0.45,2402
ASV_7716,GCA_009497895.1,100.0 ,0.48,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Halopseudomonas;s__Halopseudomonas_pelagia_A_[location=832284..833816]_[ssu_len=1533]_[contig_len=4550643],0.905,4550643,329.1439176,4550643,4.5 ,0.58,4176
ASV_2015,GCF_023169965.1,100.0 ,0.46,100.0 ,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__JAJXVM01;s__JAJXVM01_sp023169965_[location=1385649..1387203]_[ssu_len=1555]_[contig_len=4590331],0.922,4590331,353.0269798,4590331,4.6 ,0.74,4003
ASV_18268,GCF_021028955.1,100.0 ,0.41,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Salipaludibacillus;s__Salipaludibacillus_sp021028955_[location=1..1348]_[ssu_len=1348]_[contig_len=1348],0.836,154400,293.710079,4396493,4.4 ,0.42,4177
ASV_10282,GCF_024137965.1,100.0 ,0.38,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas_sp024137965_[location=480323..481857]_[ssu_len=1535]_[contig_len=4087866],0.894,4087866,322.8692105,4112032,4.1 ,0.67,3800
ASV_5335,GCA_016219575.1,100.0 ,0.37,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_sp016219575_[location=326692..328104]_[ssu_len=1413]_[contig_len=330359],0.881,223090,309.7634101,6265333,6.2 ,0.64,5947
ASV_10156,GCA_022843465.1,100.0 ,0.35,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Ahniellaceae;g__0-14-3-00-62-12;s__0-14-3-00-62-12_sp022843465_[location=244..1785]_[ssu_len=1542]_[contig_len=61860],0.881,193636,362.8572109,5183495,5.2 ,0.64,4202
ASV_3426,GCF_000304335.1,100.0 ,0.35,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_yannicii_A_[location=3804..5324]_[ssu_len=1521]_[contig_len=5559],0.917,99505,327.7660439,3952501,3.9 ,0.7,3693
ASV_19854,GCF_001427085.1,100.0 ,0.33,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis_sp001427085_[location=389560..391045]_[ssu_len=1486]_[contig_len=1736652],0.914,1682395,326.3480294,4801179,4.8 ,0.66,4491
ASV_23378,GCF_014334115.1,100.0 ,0.32,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_sp014334115_[location=1330517..1331999]_[ssu_len=1483]_[contig_len=3194162],0.92,3194162,316.9376816,3194162,3.2 ,0.67,3097
ASV_19209,GCF_023022965.1,100.0 ,0.3,99.5 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Ectobacillus;s__Ectobacillus_sp023022965_[location=1951380..1952913]_[ssu_len=1534]_[contig_len=3893080],0.848,3893080,289.3482026,3893080,3.9 ,0.41,3811
ASV_29648,GCF_010686725.1,100.0 ,0.28,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Galbitalea;s__Galbitalea_soli_[location=194591..196111]_[ssu_len=1521]_[contig_len=1278699],0.92,858854,325.7597629,3041341,3.0 ,0.69,2868
ASV_4420,GCA_003762635.1,100.0 ,0.27,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum_intestinale_[location=33..1565]_[ssu_len=1533]_[contig_len=1571],0.898,150202,314.9759117,3139193,3.1 ,0.52,2989
ASV_16527,GCF_900102885.1,100.0 ,0.27,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus_chinensis_[location=3806..5188]_[ssu_len=1383]_[contig_len=5192],0.892,202140,302.5328304,3632870,3.6 ,0.68,3579
ASV_24962,GCF_000526515.1,100.0 ,0.26,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__Actinotalea_sp000526515_[location=4097924..4099443]_[ssu_len=1520]_[contig_len=4495232],0.904,4495232,328.7513317,4495232,4.5 ,0.72,4130
ASV_3020,GCF_016924755.1,100.0 ,0.25,99.2 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella;s__Niastella_arenae_[location=272..1799]_[ssu_len=1528]_[contig_len=5501],0.868,511336,363.474328,7284291,7.3 ,0.46,5804
ASV_39445,GCA_913775065.1,100.0 ,0.22,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium_sp002500745_[location=292..1818]_[ssu_len=1527]_[contig_len=238602],0.891,323626,351.7737795,5159052,5.1 ,0.4,4363
ASV_16121,GCF_001577755.1,100.0 ,0.21,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Nibribacter;s__Nibribacter_sp001577755_[location=965502..967011]_[ssu_len=1510]_[contig_len=4143738],0.867,4143738,337.1572433,4143738,4.1 ,0.49,3555
ASV_12708,GCF_001889165.1,100.0 ,0.21,99.2 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Metabacillus;s__Metabacillus_weihaiensis_[location=4088840..4090388]_[ssu_len=1549]_[contig_len=4344873],0.793,4344873,277.4005286,4361276,4.4 ,0.36,4162
ASV_12712,GCA_900471815.1,100.0 ,0.18,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium;s__Phyllobacterium_sp900471815_[location=4509..5990]_[ssu_len=1482]_[contig_len=6465],0.898,592928,309.1584491,4601852,4.6 ,0.53,4462
ASV_5297,GCF_004310345.1,100.0 ,0.18,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus_subflavus_[location=3844..5303]_[ssu_len=1460]_[contig_len=5691],0.914,284404,310.528115,3183584,3.2 ,0.66,3130
ASV_30601,GCF_003290185.1,100.0 ,0.17,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium_lathyri_[location=397..1909]_[ssu_len=1513]_[contig_len=5605],0.886,305116,319.9603387,4857652,4.9 ,0.37,4488
ASV_866,GCF_006152115.1,100.0 ,0.16,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium_rubrum_[location=216..1679]_[ssu_len=1464]_[contig_len=5426],0.872,145678,303.8426763,4615821,4.6 ,0.67,4424
ASV_37474,GCF_900172265.1,100.0 ,0.16,99.2 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseivivax;s__Roseivivax_jejudonensis_[location=510..1957]_[ssu_len=1448]_[contig_len=7168],0.893,618761,313.0615572,4312868,4.3 ,0.68,4110
ASV_26932,GCF_001426565.1,100.0 ,0.15,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pararhizobium;s__Pararhizobium_sp001426565_[location=439..1922]_[ssu_len=1484]_[contig_len=390492],0.877,402279,307.182652,5260751,5.3 ,0.61,5015
ASV_2604,GCA_025151395.1,100.0 ,0.14,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Citricoccus;s__Citricoccus_terreus_[location=4070..5590]_[ssu_len=1521]_[contig_len=5717],0.908,64691,330.9934712,3009428,3.0 ,0.69,2757
ASV_9250,GCF_003555545.1,100.0 ,0.14,99.7 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Paraflavitalea;s__Paraflavitalea_soli_[location=4958862..4960387]_[ssu_len=1526]_[contig_len=8443189],0.895,8443189,381.8506965,8443189,8.4 ,0.48,6604
ASV_11457,GCF_002802985.1,100.0 ,0.13,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Geodermatophilus;s__Geodermatophilus_chilensis_[location=197..1717]_[ssu_len=1521]_[contig_len=18091],0.875,28240,291.0052375,5511499,5.5 ,0.74,5537
ASV_5613,GCF_018599195.1,100.0 ,0.13,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceibacterium;s__Croceibacterium_sp018599195_[location=686726..688211]_[ssu_len=1486]_[contig_len=1431959],0.911,1850427,319.7629086,3438177,3.4 ,0.64,3273
ASV_30598,GCF_000422725.1,100.0 ,0.12,99.5 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_subsaxonicum_[location=6..1420]_[ssu_len=1415]_[contig_len=1420],0.89,366192,338.7186041,4638566,4.6 ,0.42,4069
ASV_4722,GCF_006438715.1,100.0 ,0.12,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__Rhodanobacter_glycinis_A_[location=3990..5829]_[ssu_len=1840]_[contig_len=313380],0.893,313380,335.523142,4256908,4.3 ,0.64,3781
ASV_14464,GCF_007097205.2,100.0 ,0.12,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_alkaliterrae_[location=121..1646]_[ssu_len=1526]_[contig_len=5125],0.879,15903,307.9541557,5999109,6.0 ,0.72,5715
ASV_2930,GCF_000285555.1,100.0 ,0.11,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Kurthia;s__Kurthia_massiliensis_[location=68..1615]_[ssu_len=1548]_[contig_len=1667],0.857,358739,287.295617,3230817,3.2 ,0.39,3217
ASV_6225,GCF_000814325.1,100.0 ,0.11,99.7 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__Flavihumibacter_sp000814325_[location=1..1013]_[ssu_len=1013]_[contig_len=1255],0.927,586389,347.4187232,4183635,4.2 ,0.43,3728
ASV_1445,GCF_001020725.2,100.0 ,0.11,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_lundensis_[location=2393517..2395049]_[ssu_len=1533]_[contig_len=4814265],0.886,4814265,314.4897328,4814265,4.8 ,0.59,4529
ASV_4108,GCF_016858125.1,100.0 ,0.11,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira_A;s__Azospira_A_restricta_[location=1901022..1902556]_[ssu_len=1535]_[contig_len=3975213],0.923,3975213,330.8873886,3975213,4.0 ,0.69,3703
ASV_453,GCA_019753105.1,100.0 ,0.1,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__Vitreimonas_sp019753105_[location=147183..148216]_[ssu_len=1034]_[contig_len=148216],0.913,287485,290.2516605,3868855,3.9 ,0.63,4065
ASV_11568,GCF_001517585.1,100.0 ,0.1,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseinatronobacter;s__Roseinatronobacter_calidilacus_[location=504842..506302]_[ssu_len=1461]_[contig_len=512337],0.912,2631035,313.9680492,3354638,3.4 ,0.62,3255
ASV_84,GCF_015070875.1,100.0 ,0.1,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ramlibacter;s__Ramlibacter_sp015070875_[location=72149..73675]_[ssu_len=1527]_[contig_len=891610],0.934,821002,319.3998574,4310278,4.3 ,0.7,4209
ASV_14104,GCA_001706005.1,100.0 ,0.09,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas_stutzeri_AD_[location=7677..9209]_[ssu_len=1533]_[contig_len=9778],0.893,47412,311.0054312,4799686,4.8 ,0.63,4603
ASV_17832,GCA_019695035.1,100.0 ,0.09,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__JAEZEZ01;s__JAEZEZ01_sp019695035_[location=24825..26302]_[ssu_len=1478]_[contig_len=85179],0.919,85179,301.6070342,2907029,2.9 ,0.69,2957
ASV_8797,GCF_000621485.1,100.0 ,0.09,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Natronincolaceae;g__Alkaliphilus;s__Alkaliphilus_transvaalensis_[location=31..1243]_[ssu_len=1213]_[contig_len=1243],0.847,279476,303.5158709,4024838,4.0 ,0.34,3749
ASV_12358,GCF_005876985.1,100.0 ,0.09,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax_C;s__Rhodoferax_C_bucti_[location=1339118..1340648]_[ssu_len=1531]_[contig_len=1344605],0.926,937707,328.4274147,3673501,3.7 ,0.61,3458
ASV_16,GCA_004799405.1,100.0 ,0.08,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_sp004799405_[location=95093..96576]_[ssu_len=1484]_[contig_len=96585],0.868,56360,298.934208,5348614,5.3 ,0.62,5183
ASV_26440,GCA_907163225.1,100.0 ,0.08,99.5 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus_sp907163225_[location=1291842..1293376]_[ssu_len=1535]_[contig_len=3463890],0.915,3463890,321.8037071,3463890,3.5 ,0.59,3291
ASV_9422,GCF_003363155.1,100.0 ,0.08,99.5 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella_B;s__Dyella_B_monticola_[location=3740..5280]_[ssu_len=1541]_[contig_len=5544],0.886,276133,336.2421731,4940170,4.9 ,0.6,4344
ASV_17664,GCF_004016515.1,100.0 ,0.08,99.5 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax;s__Rubrivivax_albus_[location=338304..339829]_[ssu_len=1526]_[contig_len=941504],0.922,537652,336.2970582,5310361,5.3 ,0.7,4861
ASV_2933,GCF_003721595.1,100.0 ,0.07,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hanamia;s__Hanamia_caeni_[location=630235..631760]_[ssu_len=1526]_[contig_len=635634],0.887,275585,346.6156206,4963791,5.0 ,0.39,4238
ASV_16823,GCA_006438735.1,100.0 ,0.06,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_koreensis_A_[location=63731..65218]_[ssu_len=1488]_[contig_len=509682],0.896,509682,314.3603972,3595775,3.6 ,0.65,3424
ASV_17552,GCF_000420045.1,100.0 ,0.06,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;s__Perlucidibaca_piscinae_[location=281..1345]_[ssu_len=1065]_[contig_len=1353],0.928,714546,323.4591222,2424065,2.4 ,0.65,2324
ASV_3361,GCF_003173035.1,100.0 ,0.06,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Zavarziniales;f__Zavarziniaceae;g__Zavarzinia;s__Zavarzinia_aquatilis_[location=1557..3039]_[ssu_len=1483]_[contig_len=3499],0.923,285689,326.3707121,4477202,4.5 ,0.67,4227
ASV_13897,GCF_003337375.1,100.0 ,0.06,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Pristimantibacillus;s__Pristimantibacillus_prosopidis_[location=2..1457]_[ssu_len=1456]_[contig_len=1472],0.864,320574,315.9089109,6635990,6.6 ,0.47,6060
ASV_6593,GCF_007556775.1,100.0 ,0.05,99.7 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_G;s__Lysobacter_G_lycopersici_[location=1437712..1439252]_[ssu_len=1541]_[contig_len=2596173],0.914,2596173,321.0850891,2596173,2.6 ,0.67,2468
ASV_8622,GCA_023715185.1,100.0 ,0.04,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus_sp023715185_[location=82..1630]_[ssu_len=1549]_[contig_len=1725],0.863,2020338,284.9058501,3245854,3.2 ,0.46,3282
ASV_13834,GCF_001422215.1,100.0 ,0.04,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium_sp001424705_[location=3774..5253]_[ssu_len=1480]_[contig_len=5438],0.858,341520,308.402969,5005286,5.0 ,0.7,4648
